,OBJECTID,bldg_num,prg_num,name,address,class,category,x,y,grades,zipcode,type,GlobalID,lon,lat
63,64,157,28,William Pinderhughes Elementary/Middle,701 Gold Street,PK - 8, ,0,0,PK - 8,21217,Traditional,ca61032f-85df-432b-a7b6-3a4a494bb456,-76.640364,39.306696
64,65,177,177,George W. F. McMechen High,4411 Garrison Boulevard,9 - 12, ,0,0,9 - 12,21215,Separate Public Day,ac3b07ad-db6d-4b52-b28e-77e505f3fd7e,-76.68334309688865,39.3372713
65,66,22,22,George Washington Elementary,800 Scott Street,PK - 5, ,0,0,PK - 5,21230,Traditional,433df5c2-29d4-4772-b7c7-e62d08dcf421,-76.628845,39.281059
66,67,107,107,Gilmor Elementary,1311 N Gilmor Street,PK - 5, ,0,0,PK - 5,21217,Traditional,7655caf1-c7f7-443b-bb18-abcf6904a802,-76.64212925199908,39.3041524
67,68,235,235,Glenmount Elementary/Middle,6211 Walther Avenue,PK - 8, ,0,0,PK - 8,21206,Traditional,6d6c93a1-5006-47e4-b630-03f7f5cfd10c,-76.54350883291882,39.351152254302015
68,69,240,240,Graceland Park/O'Donnell Heights Elementary/Middle,6300 O'Donnell Street,PK - 8, ,0,0,PK - 8,21224,Traditional,52b39f6c-3581-4d35-a33b-2e26cfc0571b,-76.540363,39.281664
69,70,377,377,Green Street Academy,125 N Hilton St,6 - 12, ,0,0,6 - 12,21229,Charter,d2d47b85-0d6d-4b46-a18f-c6405de3a38b,-76.67158370986891,39.2880271
70,71,211,211,Gardenville Elementary,5300 Belair Road,K - 5, ,0,0,K - 5,21206,Traditional,de74e12a-47b0-4566-827b-db95e331397e,-76.55229205,39.3384733
71,72,214,214,Guilford Elementary/Middle,4520 York Road,PK - 8, ,0,0,PK - 8,21212,Traditional,0bc91497-d2ac-48da-a31a-38898745b3b2,-76.60938135714285,39.34365476530612
72,73,41,376,City Neighbors High,5609 Sefton Avenue,9 - 12, ,0,0,9 - 12,21214,Charter,df82394a-9875-4b92-bd69-521953ad01df,-76.55488085159496,39.35055045
73,74,41,346,City Neighbors Hamilton,5609 Sefton Avenue,K - 8, ,0,0,K - 8,21214,Charter,6bbcc938-f8af-4b7a-a1d4-ea627710b70e,-76.55488085159496,39.35055045
74,75,213,213,Govans Elementary,5801 York Road,PK - 5, ,0,0,PK - 5,21212,Charter,6fe31e0c-3100-47d5-aa58-39a80199e290,-76.60795729532992,39.3606865
75,76,60,60,Gwynns Falls Elementary,2700 Gwynns Falls Parkway,PK - 5, ,0,0,PK - 5,21216,Traditional,a2c3d917-6d23-45c3-a3d9-e59db9a54d20,-76.66298155128356,39.3152747
76,77,236,236,Hamilton Elementary/Middle,6101 Old Harford Road,PK - 8, ,0,0,PK - 8,21214,Traditional,40a44497-753d-4b83-84fc-1a5f2393cad6,-76.5574476027245,39.359828750000005
77,78,413,178,Excel Academy at Francis M. Wood High,1001 W Saratoga Street,6 - 12, ,0,0,6-12,21223,Alternative,02a92d39-fe3e-4f13-96f7-ab477c7f23f2,-76.634151,39.292378
78,79,55,55,Hampden Elementary/Middle,3608 Chestnut Avenue,PK - 8, ,0,0,PK - 8,21211,Traditional,bab421fb-27ee-4b40-90de-25283f868e79,-76.6295480612245,39.331788714285715
79,80,85,85,Fort Worthington Elementary/Middle,2710 E Hoffman Street,K - 8, ,0,0,K - 8,21213,Traditional,02ccb07d-67f9-4561-8d5c-f3fac7eabaaf,-76.5784285819154,39.30736985
80,81,78,430,Augusta Fells Savage Institute of Visual Arts,1500 Harlem Avenue,9 - 12, ,0,0,9 - 12,21217,Traditional,4144af75-25ea-440f-a3e0-0c4596bcd3a6,-76.6414358,39.2971713
81,82,47,47,Hampstead Hill Academy,500 S Linwood Avenue,PK - 8, ,0,0,PK - 8,21224,Charter,ba3ac14b-cb09-4274-8fd4-9a1637965c0e,-76.575909,39.286174
82,83,35,35,Harlem Park Elementary/Middle,1401 W Lafayette Avenue,PK - 8, ,0,0,PK - 8,21217,Traditional,2938a992-8620-4902-9a01-eb27a391eac5,-76.640301,39.298919
83,84,37,37,Harford Heights Elementary,1919 N Broadway,PK - 5, ,0,0,PK - 5,21213,Traditional,c3b7ecc1-814a-4060-b605-fbd82e23fac2,-76.59397123125672,39.31337035
84,85,210,210,Hazelwood Elementary/Middle,4517 Hazelwood Avenue,K - 8, ,0,0,K - 8,21206,Traditional,5b6af234-f1e1-4641-8237-c9a5dbf22257,-76.53885693293557,39.3384187
85,86,215,215,Highlandtown Elementary/Middle #215,3223 E Pratt Street,PK - 8, ,0,0,PK - 8,21224,Traditional,819542be-aad5-46d5-af40-670bfbb00684,-76.57076154651162,39.29022055813954
86,87,237,237,Highlandtown Elementary/Middle #237,231 S Eaton Street,PK - 8, ,0,0,PK - 8,21224,Traditional,ec9f5e1e-ca1a-4f88-8609-686557a77293,-76.564476,39.289152
87,88,138,379,Roots and Branches School,1807 Harlem Avenue,K - 5, ,0,0,K - 5,21217,Charter,07f43a30-5ee9-4f99-be2a-06804ff36607,-76.64675515013462,39.29597485
88,89,79,333,Independence School Local I,1300 W 36th Street,9 - 12, ,0,0,9 - 12,21216,Charter,7675d622-36f5-47b3-a297-e59ff07affc2,-76.637712,39.330436
89,90,229,229,Holabird Elementary/Middle,1500 Imla Street,PK - 8, ,0,0,PK - 8,21224,Traditional,0642421b-c650-4e9e-bf8c-e39ad5a9ad6e,-76.53864121209615,39.275967449999996
90,91,10,10,James McHenry Elementary/Middle,31 S Schroeder Street,PK - 8, ,0,0,PK - 8,21223,Traditional,1e972db4-4bf9-4ca8-aff4-c31812872ec1,-76.6335769,39.2881301
91,92,61,61,Dorothy I. Height Elementary School,2011 Linden Avenue,PK - 5, ,0,0,PK - 5,21217,Traditional,f37e360c-f054-4683-bb23-c75f0a74351f,-76.632736,39.311046
92,93,144,144,James Mosher Elementary,2400 W Mosher Street,PK - 5, ,0,0,PK - 5,21216,Traditional,505bea72-ce92-49f6-be7c-74e162951946,-76.610759,39.2908816
